receipt_id,line_index,payment_date,competence_date,store_brand,store_name,description_raw,description_norm,category,function,quantity,unit,unit_price,gross_amount,discount_amount,net_amount,source_type,replaces_receipt_id,supporting_document,expected_transaction_total,note,status
20260618_141546,1,2026-06-17,2026-06-17,Macelleria del Borgo,F.lli Sammartino,Ricotta artigianale,ricotta,caseari,proteine_pronte,0.378,kg,8.90,3.36,0.00,3.36,receipt_reconstruction,20260618_141546,20260618_141606,10.80,Dettaglio ricavato dal biglietto della bilancia,ok
20260618_141546,2,2026-06-17,2026-06-17,Macelleria del Borgo,F.lli Sammartino,Sovracosce di pollo,sovracosce_pollo,carne,proteine_da_cuocere,0.942,kg,7.90,7.44,0.00,7.44,receipt_reconstruction,20260618_141546,20260618_141606,10.80,Quattro sovracosce; dettaglio ricavato dal biglietto della bilancia,ok
20260619_110359,9000,2026-06-19,2026-06-19,Conad Taranto,DI PALMA S.R.L.,Sconto globale -10%,sconto_globale,sconti,sconti,,,,,-1.06,-1.06,receipt_adjustment,,, -1.06,Rettifica temporanea finché lo sconto globale non viene allocato agli articoli,ok
manual_uova_202606,1,2026-06-16,2026-06-16,Acquisto informale,Produttore locale,Uova artigianali,uova,uova,proteine_da_cuocere,,,,12.00,0.00,12.00,manual_transaction,,,20.00,Quota riferita al periodo corrente,ok
manual_uova_202606,2,2026-06-16,2026-05-31,Acquisto informale,Produttore locale,Uova artigianali,uova,uova,proteine_da_cuocere,,,,8.00,0.00,8.00,manual_transaction,,,20.00,Arretrato relativo al mese precedente,ok
